380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380
72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72
21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63
119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119
169;169;169;169;169;169;169;169;169;169;169;169;169;169;169;169;169;169;169;169;169
89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89
199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
238;238;238;238;238;238;238;238;238;238;238;238;238;238;238;238;238;238;238;238;238
167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167
99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36
83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83
256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256
24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24
177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177
14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191
118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118
30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78
734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734
79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79
216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216
213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213
229;229;229;229;229;229;229;229;229;229;229;229;229;229;229;229;229;229;229;229;229
37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37
899;899;899;899;899;899;899;899;899;899;899;899;899;899;899;899;899;899;899;899;899
15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122
276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276
39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39
52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52
91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91
12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87
162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162
25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11
624;624;624;624;624;624;624;624;624;624;624;624;624;624;624;624;624;624;624;624;624
119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119
70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70
49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130
337;337;337;337;337;337;337;337;337;337;337;337;337;337;337;337;337;337;337;337;337
68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68
189;189;189;189;189;189;189;189;189;189;189;189;189;189;189;189;189;189;189;189;189
86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86
192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192
21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118
72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72
232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232;232
116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116
219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219
7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111
37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37
256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256;256
113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113
212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116
552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552
43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43
83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83
125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125
98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98
164;164;164;164;164;164;164;164;164;164;164;164;164;164;164;164;164;164;164;164;164
141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141
115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115
63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63
18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216
57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57
61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61
;;;;;;;;;;;;;;;;;;;;143,4615385
